collection,title,publishdate,setdate
novel,a_study_in_scarlet,1887-12-01,1881-03
novel,the_hound_of_the_baskervilles,1902-04-01,1888-09
novel,the_sign_of_the_four,1890-02-01,1888-09
novel,the_valley_of_fear,1915-05-01,1888-01
1_the_adventures_of_sherlock_holmes,a_case_of_identity,1891-09-01,1887-10
1_the_adventures_of_sherlock_holmes,a_scandal_in_bohemia,1891-06-01,1887-05
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_beryl_coronet,1892-05-01,1890-12
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_blue_carbuncle,1892-01-01,1887-12
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_copper_beeches,1892-06-01,1889-04
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_engineers_thumb,1892-03-01,1889-09
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_noble_bachelor,1892-04-01,1886-10
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_speckled_band,1892-02-01,1883-04
1_the_adventures_of_sherlock_holmes,the_boscombe_valley_mystery,1891-10-01,1889-06
1_the_adventures_of_sherlock_holmes,the_five_orange_pips,1891-11-01,1887-09
1_the_adventures_of_sherlock_holmes,the_man_with_the_twisted_lip,1891-12-01,1887-06
1_the_adventures_of_sherlock_holmes,the_red_headed_league,1891-08-01,1887-10
2_the_memoirs_of_sherlock_holmes,silver_blaze,1892-12-01,1890-09
2_the_memoirs_of_sherlock_holmes,the_crooked_man,1893-07-01,1889-09
2_the_memoirs_of_sherlock_holmes,the_final_problem,1893-12-01,1891-04
2_the_memoirs_of_sherlock_holmes,the_gloria_scott,1893-04-01,1874-07
2_the_memoirs_of_sherlock_holmes,the_greek_interpreter,1893-09-01,1888-09
2_the_memoirs_of_sherlock_holmes,the_musgrave_ritual,1893-05-01,1879-10
2_the_memoirs_of_sherlock_holmes,the_naval_treaty,1893-11-01,1889-07
2_the_memoirs_of_sherlock_holmes,the_reigate_squires,1893-06-01,1887-04
2_the_memoirs_of_sherlock_holmes,the_resident_patient,1893-08-01,1886-10
2_the_memoirs_of_sherlock_holmes,the_stock_brokers_clerk,1893-03-01,1889-06
2_the_memoirs_of_sherlock_holmes,the_yellow_face,1893-02-01,1888-04
3_the_return_of_sherlock_holmes,the_adventure_of_black_peter,1904-03-01,1895-07
3_the_return_of_sherlock_holmes,the_adventure_of_charles_augustus_milverton,1904-04-01,1899-01
3_the_return_of_sherlock_holmes,the_adventure_of_the_abbey_grange,1904-09-01,1887-01
3_the_return_of_sherlock_holmes,the_adventure_of_the_dancing_men,1903-12-01,1898-07
3_the_return_of_sherlock_holmes,the_adventure_of_the_empty_house,1903-10-01,1894-04
3_the_return_of_sherlock_holmes,the_adventure_of_the_golden_pince_nez,1904-07-01,1894-11
3_the_return_of_sherlock_holmes,the_adventure_of_the_missing_three_quarter,1904-08-01,1896-12
3_the_return_of_sherlock_holmes,the_adventure_of_the_norwood_builder,1903-11-01,1895-08
3_the_return_of_sherlock_holmes,the_adventure_of_the_priory_school,1904-02-01,1901-05
3_the_return_of_sherlock_holmes,the_adventure_of_the_second_stain,1904-12-01,1886-10
3_the_return_of_sherlock_holmes,the_adventure_of_the_six_napoleons,1904-05-01,1900-06
3_the_return_of_sherlock_holmes,the_adventure_of_the_solitary_cyclist,1904-01-01,1895-04
3_the_return_of_sherlock_holmes,the_adventure_of_the_three_students,1904-06-01,1895-04
4_his_last_bow,his_last_bow_an_epilogue_of_sherlock_holmes,1917-09-01,1914-08
4_his_last_bow,the_adventure_of_the_bruce_partington_plans,1908-12-01,1895-11
4_his_last_bow,the_adventure_of_the_cardboard_box,1893-01-01,1889-08
4_his_last_bow,the_adventure_of_the_devils_foot,1910-12-01,1897-03
4_his_last_bow,the_adventure_of_the_dying_detective,1913-11-01,1887-11
4_his_last_bow,the_adventure_of_the_red_circle,1911-04-01,1902-09
4_his_last_bow,the_adventure_of_wisteria_lodge,1908-08-01,1890-03
4_his_last_bow,the_disappearance_of_lady_frances_carfax,1911-12-01,1902-07
5_the_case_book_of_sherlock_holmes,the_adventure_of_shoscombe_old_place,1927-03-01,1902-05
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_creeping_man,1923-03-01,1903-09
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_lions_mane,1926-11-01,1909-07
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_mazarin_stone,1921-10-01,1903-06
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_retired_colourman,1926-12-01,1898-07
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_sussex_vampire,1924-01-01,1896-11
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_three_gables,1926-09-01,1903-05
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_three_garridebs,1924-10-01,1902-06
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_veiled_lodger,1927-01-01,1896-10
5_the_case_book_of_sherlock_holmes,the_blanched_soldier,1926-10-01,1903-01
5_the_case_book_of_sherlock_holmes,the_illustrious_client,1924-11-01,1902-09
5_the_case_book_of_sherlock_holmes,the_problem_of_thor_bridge,1922-02-01,1900-10
